controller,episode,vehicles_crossed,throughput,total_wait,avg_wait_per_vehicle,max_queue,crossed_right,crossed_down,crossed_left,crossed_up,avgwait_right,avgwait_down,avgwait_left,avgwait_up
Round-Robin,1,397,1.3233,12163,30.64,74,257,94,35,11,100.79,10.71,4.0,0.0
Round-Robin,2,386,1.2867,11265,29.18,64,255,90,33,8,97.25,0.0,26.0,0.0
Round-Robin,3,381,1.27,11795,30.96,69,253,85,29,14,102.73,25.14,0.0,0.0
Round-Robin,4,398,1.3267,12763,32.07,73,261,86,39,12,85.24,20.0,87.5,0.0
Round-Robin,5,399,1.33,12550,31.45,64,263,85,35,16,84.42,14.0,18.14,0.0
Heuristic,1,292,0.9733,25582,87.61,66,263,29,0,0,92.77,6482.2,7112.58,10668.79
Heuristic,2,297,0.99,24220,81.55,71,263,34,0,0,79.23,5990.26,10812.91,8614.48
Heuristic,3,296,0.9867,26105,88.19,77,277,19,0,0,88.23,6879.47,7961.81,9204.5
Heuristic,4,312,1.04,25234,80.88,59,275,37,0,0,81.18,5146.31,8951.95,8570.23
Heuristic,5,308,1.0267,26882,87.28,84,273,35,0,0,88.85,6370.77,9413.83,7695.0
RL Agent,1,370,1.2333,12183,32.93,61,264,73,23,10,100.96,65.67,487.5,858.0
RL Agent,2,394,1.3133,14726,37.38,79,282,82,18,12,114.27,734.33,1036.43,0.0
RL Agent,3,377,1.2567,12998,34.48,74,242,94,30,11,179.0,220.14,257.43,0.0
RL Agent,4,349,1.1633,14748,42.26,88,235,93,14,7,458.89,11.33,4453.56,2786.0
RL Agent,5,388,1.2933,14264,36.76,88,248,94,33,13,304.62,76.86,834.83,410.0
